rep,plot,loc,entry,entry_no,entry2,ecotype,year,yld_dta
1,101,ny,K_Sel,8,Selected_from_Kanlow,LL,2020,1.48
1,102,ny,PLB,12,Prime_Lowland,LL,2020,1.77
1,103,ny,MUB,10,Mine_Upland,UL,2020,1.77
1,104,ny,CHECK_CiR,2,CHECK_CiR,UL,2020,1.28
1,105,ny,GMS,7,Midge_2_(CiR),UL,2020,1.52
1,106,ny,GMR,6,Midge_1_(CiR),UL,2020,1.38
1,107,ny,MLB,9,Mine_Lowland,LL,2020,1.36
1,108,ny,CHECK_Carthage,1,CHECK_Carthage,UL,2020,0.91
1,109,ny,CHECK_Liberty,4,CHECK_Liberty,ULLL_Hybrid,2020,1.38
1,110,ny,PUB,13,Prime_Upland,UL,2020,1.18
1,111,ny,CHECK_Kanlow,3,CHECK_Kanlow,LL,2020,1.49
1,113,ny,Cool_Germ,5,Northeast_tive,UL,2020,0.98
2,201,ny,GMS,7,Midge_2_(CiR),UL,2020,1.52
2,202,ny,GMR,6,Midge_1_(CiR),UL,2020,1.38
2,203,ny,CHECK_Liberty,4,CHECK_Liberty,ULLL_Hybrid,2020,1.38
2,204,ny,MUB,10,Mine_Upland,UL,2020,1.77
2,205,ny,CHECK_Kanlow,3,CHECK_Kanlow,LL,2020,1.49
2,207,ny,PLB,12,Prime_Lowland,LL,2020,1.77
2,208,ny,CHECK_CiR,2,CHECK_CiR,UL,2020,1.28
2,209,ny,PUB,13,Prime_Upland,UL,2020,1.18
2,210,ny,K_Sel,8,Selected_from_Kanlow,LL,2020,1.48
2,211,ny,CHECK_Carthage,1,CHECK_Carthage,UL,2020,0.91
2,212,ny,MLB,9,Mine_Lowland,LL,2020,1.36
2,213,ny,Cool_Germ,5,Northeast_tive,UL,2020,0.98
3,301,ny,CHECK_Liberty,4,CHECK_Liberty,ULLL_Hybrid,2020,1.38
3,302,ny,CHECK_Kanlow,3,CHECK_Kanlow,LL,2020,1.49
3,303,ny,Cool_Germ,5,Northeast_tive,UL,2020,0.98
3,304,ny,CHECK_Carthage,1,CHECK_Carthage,UL,2020,0.91
3,305,ny,K_Sel,8,Selected_from_Kanlow,LL,2020,1.48
3,306,ny,PUB,13,Prime_Upland,UL,2020,1.18
3,307,ny,PLB,12,Prime_Lowland,LL,2020,1.77
3,308,ny,GMS,7,Midge_2_(CiR),UL,2020,1.52
3,309,ny,CHECK_CiR,2,CHECK_CiR,UL,2020,1.28
3,310,ny,MLB,9,Mine_Lowland,LL,2020,1.36
3,311,ny,MUB,10,Mine_Upland,UL,2020,1.77
3,312,ny,GMR,6,Midge_1_(CiR),UL,2020,1.38
4,401,ny,GMR,6,Midge_1_(CiR),UL,2020,1.38
4,403,ny,MUB,10,Mine_Upland,UL,2020,1.77
4,404,ny,MLB,9,Mine_Lowland,LL,2020,1.36
4,405,ny,PLB,12,Prime_Lowland,LL,2020,1.77
4,406,ny,GMS,7,Midge_2_(CiR),UL,2020,1.52
4,407,ny,CHECK_CiR,2,CHECK_CiR,UL,2020,1.28
4,408,ny,PUB,13,Prime_Upland,UL,2020,1.18
4,409,ny,CHECK_Liberty,4,CHECK_Liberty,ULLL_Hybrid,2020,1.38
4,410,ny,Cool_Germ,5,Northeast_tive,UL,2020,0.98
4,411,ny,CHECK_Kanlow,3,CHECK_Kanlow,LL,2020,1.49
4,412,ny,CHECK_Carthage,1,CHECK_Carthage,UL,2020,0.91
4,413,ny,K_Sel,8,Selected_from_Kanlow,LL,2020,1.48
1,101,ny,K_Sel,8,Selected_from_Kanlow,LL,2021,4.4
1,102,ny,PLB,12,Prime_Lowland,LL,2021,5.84
1,103,ny,MUB,10,Mine_Upland,UL,2021,5.5
1,104,ny,CHECK_CiR,2,CHECK_CiR,UL,2021,3.7
1,105,ny,GMS,7,Midge_2_(CiR),UL,2021,3.74
1,106,ny,GMR,6,Midge_1_(CiR),UL,2021,3.97
1,107,ny,MLB,9,Mine_Lowland,LL,2021,4.47
1,108,ny,CHECK_Carthage,1,CHECK_Carthage,UL,2021,4.15
1,109,ny,CHECK_Liberty,4,CHECK_Liberty,ULLL_Hybrid,2021,4.72
1,110,ny,PUB,13,Prime_Upland,UL,2021,4.3
1,111,ny,CHECK_Kanlow,3,CHECK_Kanlow,LL,2021,4.55
1,113,ny,Cool_Germ,5,Northeast_tive,UL,2021,3.63
2,201,ny,GMS,7,Midge_2_(CiR),UL,2021,4.09
2,202,ny,GMR,6,Midge_1_(CiR),UL,2021,3.82
2,203,ny,CHECK_Liberty,4,CHECK_Liberty,ULLL_Hybrid,2021,4.08
2,204,ny,MUB,10,Mine_Upland,UL,2021,4.05
2,205,ny,CHECK_Kanlow,3,CHECK_Kanlow,LL,2021,4.44
2,207,ny,PLB,12,Prime_Lowland,LL,2021,3.85
2,208,ny,CHECK_CiR,2,CHECK_CiR,UL,2021,3.47
2,209,ny,PUB,13,Prime_Upland,UL,2021,3.71
2,210,ny,K_Sel,8,Selected_from_Kanlow,LL,2021,3.84
2,211,ny,CHECK_Carthage,1,CHECK_Carthage,UL,2021,2.89
2,212,ny,MLB,9,Mine_Lowland,LL,2021,3.26
2,213,ny,Cool_Germ,5,Northeast_tive,UL,2021,3.25
3,301,ny,CHECK_Liberty,4,CHECK_Liberty,ULLL_Hybrid,2021,4.16
3,302,ny,CHECK_Kanlow,3,CHECK_Kanlow,LL,2021,4.1
3,303,ny,Cool_Germ,5,Northeast_tive,UL,2021,4
3,304,ny,CHECK_Carthage,1,CHECK_Carthage,UL,2021,2.94
3,305,ny,K_Sel,8,Selected_from_Kanlow,LL,2021,4.39
3,306,ny,PUB,13,Prime_Upland,UL,2021,3.49
3,307,ny,PLB,12,Prime_Lowland,LL,2021,4.24
3,308,ny,GMS,7,Midge_2_(CiR),UL,2021,3.5
3,309,ny,CHECK_CiR,2,CHECK_CiR,UL,2021,3.6
3,310,ny,MLB,9,Mine_Lowland,LL,2021,3.25
3,311,ny,MUB,10,Mine_Upland,UL,2021,4
3,312,ny,GMR,6,Midge_1_(CiR),UL,2021,3.39
4,401,ny,GMR,6,Midge_1_(CiR),UL,2021,3.88
4,403,ny,MUB,10,Mine_Upland,UL,2021,4.37
4,404,ny,MLB,9,Mine_Lowland,LL,2021,3.66
4,405,ny,PLB,12,Prime_Lowland,LL,2021,3.52
4,406,ny,GMS,7,Midge_2_(CiR),UL,2021,3.63
4,407,ny,CHECK_CiR,2,CHECK_CiR,UL,2021,3.1
4,408,ny,PUB,13,Prime_Upland,UL,2021,3.28
4,409,ny,CHECK_Liberty,4,CHECK_Liberty,ULLL_Hybrid,2021,3.29
4,410,ny,Cool_Germ,5,Northeast_tive,UL,2021,2.68
4,411,ny,CHECK_Kanlow,3,CHECK_Kanlow,LL,2021,3.16
4,412,ny,CHECK_Carthage,1,CHECK_Carthage,UL,2021,2.01
4,413,ny,K_Sel,8,Selected_from_Kanlow,LL,2021,2.21
1,101,ny,K_Sel,8,Selected_from_Kanlow,LL,2022,3.46
1,102,ny,PLB,12,Prime_Lowland,LL,2022,4.94
1,103,ny,MUB,10,Mine_Upland,UL,2022,5.75
1,104,ny,CHECK_CiR,2,CHECK_CiR,UL,2022,3.88
1,105,ny,GMS,7,Midge_2_(CiR),UL,2022,4.03
1,106,ny,GMR,6,Midge_1_(CiR),UL,2022,4.08
1,107,ny,MLB,9,Mine_Lowland,LL,2022,3.72
1,108,ny,CHECK_Carthage,1,CHECK_Carthage,UL,2022,3.7
1,109,ny,CHECK_Liberty,4,CHECK_Liberty,ULLL_Hybrid,2022,4.18
1,110,ny,PUB,13,Prime_Upland,UL,2022,3.86
1,111,ny,CHECK_Kanlow,3,CHECK_Kanlow,LL,2022,3.64
1,113,ny,Cool_Germ,5,Northeast_tive,UL,2022,3.55
2,201,ny,GMS,7,Midge_2_(CiR),UL,2022,4.5
2,202,ny,GMR,6,Midge_1_(CiR),UL,2022,4.28
2,203,ny,CHECK_Liberty,4,CHECK_Liberty,ULLL_Hybrid,2022,3.88
2,204,ny,MUB,10,Mine_Upland,UL,2022,4.46
2,205,ny,CHECK_Kanlow,3,CHECK_Kanlow,LL,2022,3.89
2,207,ny,PLB,12,Prime_Lowland,LL,2022,3.05
2,208,ny,CHECK_CiR,2,CHECK_CiR,UL,2022,3.03
2,209,ny,PUB,13,Prime_Upland,UL,2022,3.39
2,210,ny,K_Sel,8,Selected_from_Kanlow,LL,2022,2.94
2,211,ny,CHECK_Carthage,1,CHECK_Carthage,UL,2022,2.59
2,212,ny,MLB,9,Mine_Lowland,LL,2022,2.79
2,213,ny,Cool_Germ,5,Northeast_tive,UL,2022,2.93
3,301,ny,CHECK_Liberty,4,CHECK_Liberty,ULLL_Hybrid,2022,4.34
3,302,ny,CHECK_Kanlow,3,CHECK_Kanlow,LL,2022,3.51
3,303,ny,Cool_Germ,5,Northeast_tive,UL,2022,3.59
3,304,ny,CHECK_Carthage,1,CHECK_Carthage,UL,2022,2.92
3,305,ny,K_Sel,8,Selected_from_Kanlow,LL,2022,3.16
3,306,ny,PUB,13,Prime_Upland,UL,2022,2.8
3,307,ny,PLB,12,Prime_Lowland,LL,2022,2.82
3,308,ny,GMS,7,Midge_2_(CiR),UL,2022,2.85
3,309,ny,CHECK_CiR,2,CHECK_CiR,UL,2022,3.23
3,310,ny,MLB,9,Mine_Lowland,LL,2022,2.31
3,311,ny,MUB,10,Mine_Upland,UL,2022,3.63
3,312,ny,GMR,6,Midge_1_(CiR),UL,2022,3.09
4,401,ny,GMR,6,Midge_1_(CiR),UL,2022,3.57
4,403,ny,MUB,10,Mine_Upland,UL,2022,3.61
4,404,ny,MLB,9,Mine_Lowland,LL,2022,2.77
4,405,ny,PLB,12,Prime_Lowland,LL,2022,2.4
4,406,ny,GMS,7,Midge_2_(CiR),UL,2022,2.58
4,407,ny,CHECK_CiR,2,CHECK_CiR,UL,2022,2.43
4,408,ny,PUB,13,Prime_Upland,UL,2022,2.85
4,409,ny,CHECK_Liberty,4,CHECK_Liberty,ULLL_Hybrid,2022,2.8
4,410,ny,Cool_Germ,5,Northeast_tive,UL,2022,2.43
4,411,ny,CHECK_Kanlow,3,CHECK_Kanlow,LL,2022,2.02
4,412,ny,CHECK_Carthage,1,CHECK_Carthage,UL,2022,1.96
4,413,ny,K_Sel,8,Selected_from_Kanlow,LL,2022,1.63
